"Words_1" "Words_2"
"of" "the"
"in" "the"
"to" "the"
"for" "the"
"on" "the"
"to" "be"
"at" "the"
"and" "the"
"in" "a"
"with" "the"
"is" "a"
"it" "was"
"for" "a"
"i" "have"
"i" "was"
"and" "i"
"with" "a"
"from" "the"
"it" "is"
"going" "to"
"will" "be"
"have" "a"
"i" "am"
"of" "a"
"is" "the"
"if" "you"
"one" "of"
"to" "get"
"want" "to"
"as" "a"
"have" "to"
"by" "the"
"that" "the"
"to" "do"
"to" "a"
"this" "is"
"was" "a"
"i" "think"
"out" "of"
"the" "first"
"and" "a"
"that" "i"
"to" "see"
"all" "the"
"on" "a"
"the" "same"
"have" "been"
"but" "i"
"a" "lot"
"i" "love"
"you" "can"
"to" "make"
"be" "a"
"of" "my"
"thanks" "for"
"need" "to"
"he" "was"
"you" "are"
"has" "been"
"when" "i"
"a" "few"
"would" "be"
"i" "don't"
"about" "the"
"i" "had"
"to" "have"
"a" "great"
"more" "than"
"the" "best"
"i" "can"
"a" "little"
"as" "the"
"in" "my"
"to" "go"
"you" "have"
"a" "good"
"thank" "you"
"i" "know"
"into" "the"
"they" "are"
"he" "said"
"had" "a"
"we" "are"
"i" "just"
"is" "not"
"i" "will"
"we" "have"
"the" "world"
"the" "most"
"so" "much"
"there" "is"
"that" "is"
"so" "i"
"over" "the"
"there" "are"
"do" "you"
"a" "new"
"lot" "of"
"i" "would"
"the" "new"
"like" "a"
"but" "the"
"was" "the"
"at" "least"
"part" "of"
"trying" "to"
"if" "i"
"as" "well"
"able" "to"
"and" "then"
"are" "you"
"all" "of"
"the" "way"
"i" "want"
"the" "last"
"back" "to"
"on" "my"
"up" "to"
"of" "his"
"can" "be"
"the" "other"
"you" "know"
"to" "me"
"the" "next"
"in" "this"
"for" "me"
"at" "a"
"some" "of"
"and" "it"
"i" "could"
"the" "time"
"according" "to"
"is" "that"
"right" "now"
"time" "to"
"to" "take"
"that" "he"
"he" "is"
"but" "it"
"kind" "of"
"way" "to"
"when" "you"
"to" "my"
"as" "i"
"had" "to"
"go" "to"
"said" "the"
"has" "a"
"of" "this"
"the" "only"
"should" "be"
"that" "was"
"what" "i"
"of" "course"
"i" "need"
"in" "his"
"me" "to"
"they" "were"
"the" "end"
"the" "day"
"with" "my"
"be" "the"
"when" "the"
"and" "that"
"a" "bit"
"from" "a"
"would" "have"
"this" "year"
"it's" "a"
"through" "the"
"to" "say"
"wanted" "to"
"i" "got"
"after" "the"
"of" "our"
"get" "a"
"are" "the"
"this" "week"
"to" "work"
"i" "do"
"into" "a"
"i" "can't"
"that" "you"
"up" "the"
"you" "want"
"last" "year"
"it" "to"
"that" "we"
"that" "it"
"have" "the"
